"","year","id","age","race","sex","realrinc","educ","partyid","happy"
"1",2022,1,72,"white","female",40900,"4 years of college","strong democrat","not too happy"
"2",2022,2,80,"white","male",NA,"6 years of college","independent (neither, no response)","not too happy"
"3",2022,3,57,"white","female",18405,"12th grade","not very strong republican","not too happy"
"4",2022,4,23,"white","female",2249.5,"4 years of college","strong democrat","not too happy"
"5",2022,5,62,"white","male",NA,"2 years of college","independent (neither, no response)","pretty happy"
"6",2022,6,27,"white","male",22495,"12th grade","not very strong democrat","pretty happy"
"7",2022,7,20,"other","female",15337.5,"12th grade","independent, close to democrat","pretty happy"
"8",2022,8,47,"white","male",33742.5,"4 years of college","strong democrat","pretty happy"
"9",2022,9,31,"white","female",6646.25,"12th grade","independent, close to democrat","pretty happy"
"10",2022,10,72,NA,"female",NA,"12th grade","strong democrat","pretty happy"
"11",2022,11,57,"white","female",NA,"1 year of college","independent (neither, no response)","pretty happy"
"12",2022,12,25,"white","female",13292.5,"4 years of college","independent, close to democrat","pretty happy"
"13",2022,13,35,"white","female",18405,"12th grade","other party","very happy"
"14",2022,14,36,"white","female",204.5,"12th grade","not very strong republican","not too happy"
"15",2022,15,41,"white","female",NA,"1 year of college","independent (neither, no response)","pretty happy"
"16",2022,16,65,"white","male",NA,"2 years of college","independent, close to democrat","very happy"
"17",2022,17,20,"other","female",NA,"1 year of college","independent, close to republican","very happy"
"18",2022,18,80,"white","female",13292.5,"4 years of college","independent, close to democrat","very happy"
"19",2022,19,35,"black","female",4601.25,"11th grade","independent (neither, no response)","not too happy"
"20",2022,20,89,"white","female",NA,"12th grade","not very strong democrat","pretty happy"
"21",2022,21,34,"other","female",1431.5,"10th grade","independent (neither, no response)","pretty happy"
"22",2022,22,55,"black","female",NA,"12th grade","independent (neither, no response)","not too happy"
"23",2022,23,65,"white","male",13292.5,"4 years of college","strong republican","not too happy"
"24",2022,24,60,"black","female",18405,"2 years of college","independent, close to democrat","pretty happy"
"25",2022,25,28,"white","male",204.5,"1 year of college","other party","very happy"
"26",2022,26,82,"white","female",NA,"12th grade","strong republican","pretty happy"
